SnipWidth,SnipHeight,TemtemLeftX,TemtemLeftY,TemtemRightX,TemtemRightY,Resolution
160,30,1175,26,1573,81,1920x1080
150,27,977,20,1308,67,1600x900
130,25,834,18,1117,57,1366x768
130,25,834,18,1117,57,1360x768
125,23,781,17,1047,53,1280x720
120,22,718,15,962,49,1176x664
150,33,1025,20,1374,26,1680x1050
140,25,880,19,1179,61,1440x900
130,23,783,17,1048,53,1280x800
130,25,783,17,1048,53,1280x1024
90,15,440,9,589,29,720x576
130,25,783,16,1048,54,1280x768
130,27,783,16,1048,53,1280x960
125,25,704,14,943,48,1152x864
120,22,626,12,837,42,1024x768
100,16,489,9,654,33,800x600
90,12,390,8,523,26,640x480
90,16,439,8,589,29,720x480
150,29,976,21,1309,67,1600x1024
289,49,2428,31,2961,104,3440x1440
319,60,2351,53,3147,163,3840x2160
220,49,1567,35,2098,108,2560x1440
